agency_cd	site_no	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	gw_begin_date	gw_end_date	gw_count_nu	d_top_2
USGS	251241080385301	25.210000000000001	-80.647777800000000	S	NAD83	0	4.3	NAVD88	12.77	2002-07-16	2020-10-16	158	24.047439575195313
USGS	251241080385302	25.210000000000001	-80.647777800000000	S	NAD83	0	4.3	NAVD88	22.4	2001-12-14	2011-10-05	66	24.047439575195313
USGS	251855080283401	25.311777780000000	-80.477222200000000	1	NAD83	1.2	.01	NGVD29	8	1994-07-08	2008-10-24	64	15.603440284729004
USGS	252656080350301	25.615716670000001	-80.583016700000002	1	NAD83	8.28	.1	NGVD29	31	1993-02-18	2020-12-09	148	0.309904813766479
USGS	253400080340401	25.567000000000000	-80.567083299999993	1	NAD83	6.82	.1	NGVD29	12.5	1992-11-23	2020-10-13	161	0.486991614103317
USGS	253537080284401	25.594166670000000	-80.478666700000005	1	NAD83	9.9	.1	NGVD29	33	1990-03-29	2015-03-26	121	0.121526703238487
USGS	253539080320501	25.594119440000000	-80.534649999999999	H	NAD83	7.1	.5	NGVD29	12	1996-10-02	2020-10-13	136	0.121527001261711
USGS	253632080321101	25.608694440000001	-80.503249999999994	1	NAD83	7.90	.1	NGVD29	12	1997-01-31	2020-10-22	134	0.099999897181988
USGS	253708080304201	25.618591670000001	-80.511272199999993	H	NAD83	7.3	.1	NGVD29	12	1996-10-02	2020-10-22	148	0.099999897181988
USGS	253937080304001	25.638000000000002	-80.511972200000002	1	NAD83	8	.1	NGVD29	16	1949-06-30	2020-12-07	471	0.099999897181988
USGS	253948080250701	25.663288890000000	-80.418975000000003	1	NAD83	8.6	0.5	NGVD29	22.5	2009-04-09	2020-11-04	159	0.099999897181988
USGS	253952080321501	25.664933330000000	-80.538933299999997	1	NAD83	7	.1	NGVD29	10	1996-01-26	2020-11-25	118	0.099999897181988
USGS	254000080460001	25.656111100000000	-80.766444399999997	1	NAD83	6.8	.1	NGVD29	16.6	1950-11-14	2020-10-28	475	4.304719924926758
USGS	254019080190201	25.672325239999999	-80.316996500000002	F	NAD83	9.34	.1	NGVD29	62	1975-10-06	1996-01-11	81	0.100000396370888
USGS	254022080263601	25.673527780000001	-80.443083299999998	1	NAD83	10.6	.1	NGVD29	19	1994-02-16	2020-12-09	151	0.099999897181988
USGS	254038080280201	25.677805559999999	-80.466444400000000	1	NAD83	7.90	.1	NGVD29	20	1994-10-13	2020-12-09	145	0.099999897181988
USGS	254054080295401	25.687838889999998	-80.496519399999997	H	NAD83	6.8	.1	NGVD29	9	1992-11-23	2020-10-02	158	0.099999897181988
USGS	254108080231301	25.685277780000000	-80.470027799999997	1	NAD83	8.62	.5	NGVD29	19.50	1994-03-31	2020-12-09	149	0.099999897181988
USGS	254111080272501	25.686666670000001	-80.456694400000003	1	NAD83	8.30	.5	NGVD29	19	1994-03-29	2020-12-11	195	0.099999897181988
USGS	254112080294201	25.687138890000000	-80.495944399999999	1	NAD83	6.6	.1	NGVD29	19.50	1994-03-31	2020-10-02	145	0.099999897181988
USGS	254130080234501	25.691666670000000	-80.396027799999999	1	NAD83	8.7	.1	NGVD29	80	1976-05-03	2020-11-16	212	0.099999897181988
USGS	254138080212802	25.693916670000000	-80.357641700000002	S	NAD83	6.91	.01	NGVD29	30.13	2009-09-01	2020-12-08	75	0.099999897181988
USGS	254138080284401	25.694277780000000	-80.478666700000005	1	NAD83	7.4	.1	NGVD29	19.4	1994-03-31	2015-03-11	127	0.099999897181988
USGS	254150080215503	25.697458330000000	-80.365333300000003	F	NAD83	8.92	.01	NGVD29	19.5	2010-03-24	2020-12-08	81	0.099999897181988
USGS	254152080274501	25.698194440000002	-80.462388890000000	1	NAD83	10.3	.5	NGVD29	20	1994-02-16	2020-12-11	209	0.099999897181988
USGS	254152080282101	25.698138889999999	-80.472666700000005	1	NAD83	6.2	.1	NGVD29	19.90	1994-02-16	2020-10-06	176	0.099999897181988
USGS	254152080282601	25.698005559999999	-80.473799999999997	1	NAD83	7	.5	NGVD29	22.8	2009-03-23	2020-12-10	150	0.099999897181988
USGS	254153080213903	25.698236099999999	-80.361102799999998	5	NAD83	7.24	.01	NGVD29	56.6	2010-03-24	2020-10-05	69	0.099999897181988
USGS	254153080213904	25.698236099999999	-80.361105600000002	5	NAD83	7.20	.01	NGVD29	39.1	2010-03-24	2020-10-05	78	0.099999897181988
USGS	254154080213702	25.698513890000001	-80.360500000000002	5	NAD83	8.27	.01	NGVD29	78.2	2010-09-03	2020-11-23	86	0.099999897181988
USGS	254155080243501	25.698861099999998	-80.359722199999993	5	NAD83	7.26	.01	NGVD29	95.2	2010-04-06	2020-10-05	83	0.099999897181988
USGS	254155080243502	25.698861099999998	-80.359750000000005	5	NAD83	7.44	.01	NGVD29	75.1	2010-04-06	2020-10-05	107	0.099999897181988
